id	name	line	confidence	aliases
customer-management	客户管理	lease	architecture	customer-management|客户准入|客户管理|客户
customer-engagement	客户对接过程管理	lease	architecture	customer-engagement|客户对接过程管理|客户对接|对接认领
contract-template-management	标准合同模板	lease	architecture	contract-template-management|标准合同模板|合同模板
lease-business-ledger	租赁业务台账	lease	architecture	lease-business-ledger|租赁业务台账
receivable-dunning	应收催款（催款函）	lease	building	receivable-dunning|应收催款|催款函|催款单|用印催款
lease-contract-management	租赁合同	lease	confirmed	lease-contract-management|租赁合同怎么用|合同怎么建|租赁合同|E签宝|建合同|签合同|非标|v2.5.8f|租赁主链
vehicle-pickup-receivable	提车应收款	lease	architecture	vehicle-pickup-receivable|提车应收款|怎么提车|提车应收|提车
vehicle-return-settlement	还车应结款	lease	confirmed	vehicle-return-settlement|还车应结款|还车应结|还车结算|会签|还车
h2-station-dashboard	加氢站大屏	energy	legacy	h2-station-dashboard|加氢站大屏
ledger-h2-procurement-summary	氢费采购端汇总报表	energy	legacy	ledger-h2-procurement-summary|氢费采购端汇总报表
oneos-h5-h2-order	加氢订单（H5）	energy	architecture	oneos-h5-h2-order|加氢订单（H5）|加氢怎么录|加氢订单|补录加氢
oneos-web-h2-station-site	加氢站管理	energy	architecture	oneos-web-h2-station-site|加氢站管理
payment-records	收款记录 / 氢费账户	energy	architecture	payment-records|收款记录 / 氢费账户
supplier-management	供应商管理	energy	architecture	supplier-management|供应商管理|救援车队供应商|供应商台账|供应商主数据
vehicle-h2-fee-ledger	车辆氢费明细	energy	architecture	vehicle-h2-fee-ledger|车辆氢费明细
biz-vehicle-cost	车辆成本维护	ops	legacy	biz-vehicle-cost|车辆成本维护
insurance-procurement	保险采购	ops	confirmed	insurance-procurement|保险采购|保单台账|比价单|交强险|商业险交车
ledger-insurance-allocation	保险分摊明细	ops	legacy	ledger-insurance-allocation|保险分摊明细
oneos-v2-h5-vehicle-fault-handling	故障处置（H5）	ops	confirmed	oneos-v2-h5-vehicle-fault-handling|故障处置（H5）
oneos-web-ops	车辆运维综合	ops	architecture	oneos-web-ops|车辆运维综合
ops-aftermarket-device	后装设备	ops	legacy	ops-aftermarket-device|后装设备
ops-certificates	证照管理	ops	building	ops-certificates|证照管理|证照|行驶证|道路运输证|等级评定证照
ops-license-plate	上牌管理	ops	legacy	ops-license-plate|上牌管理
ops-parking-lot	停车场管理	ops	building	ops-parking-lot|停车场管理|停车场|场站|停放车辆
ops-parts-warehouse	备件库存 / 仓库管理	ops	legacy	ops-parts-warehouse|备件库存 / 仓库管理
ops-vehicle-annual-review	年审管理	ops	building	ops-vehicle-annual-review|年审管理|年审|等评|沪牌年审|检验到期
ops-vehicle-delivery	交车管理	ops	building	ops-vehicle-delivery|交车管理|交车|交还车交车|提车后交车
ops-vehicle-model	型号参数	ops	legacy	ops-vehicle-model|型号参数
ops-vehicle-prepare	备车管理	ops	building	ops-vehicle-prepare|ops-backup-vehicle|备车管理|备车|绿通|装备标签|尾板冷机
ops-vehicle-relocation	异动管理	ops	building	ops-vehicle-relocation|异动管理|异动|异动加氢|结束异动
ops-vehicle-replace	替换车管理	ops	building	ops-vehicle-replace|替换车管理|替换车|监控式预发起|自营互替
ops-vehicle-return	还车管理	ops	building	ops-vehicle-return|ops-vehicle-return-mgmt|还车管理|还车|交还车还车|胎纹授权更正
ops-vehicle-transfer	调拨管理	ops	building	ops-vehicle-transfer|调拨管理|调拨|跨区调拨|调拨待办102
procurement-third-party-exit	三方退租车管理	ops	legacy	procurement-third-party-exit|三方退租车管理
vehicle-fault-handling	故障处置（PC）	ops	confirmed	vehicle-fault-handling|故障处置（PC）|故障处置|报修|故障
rescue-task	救援任务	ops	building	rescue-task|救援任务|一键救援|救援匹配|救援应付
fcev-customer-report-lexicon	氢能车客户报障话术语料	ops	confirmed	fcev-customer-report-lexicon|离子水|去离子水|冷却液报障|漏气不给加|抛锚了|FCEV报障|氢能客户话术|故障灯
vehicle-inspection	验车入库	ops	confirmed	vehicle-inspection|验车入库
vehicle-maintenance-ledger	车辆维修明细	ops	architecture	vehicle-maintenance-ledger|车辆维修明细
vehicle-management	车辆资产	ops	confirmed	vehicle-management|车辆资产
vehicle-purchase-contract	车辆采购合同	ops	confirmed	vehicle-purchase-contract|车辆采购合同
safety-management	安全管理（综合）	safety	building	safety-management|安全管理（综合）
safety-training-scan	安全培训扫码	safety	legacy	safety-training-scan|安全培训扫码
biz-etc-management	ETC 管理	logistics	legacy	biz-etc-management|ETC 管理
self-operated-business-ledger	物流业务明细 / 项目盈亏	logistics	architecture	self-operated-business-ledger|物流业务明细 / 项目盈亏
self-operated-contract	物流合同	logistics	architecture	self-operated-contract|物流合同
self-operated-dispatch-task	调度任务	logistics	architecture	self-operated-dispatch-task|调度任务
biz-finance-integration	业财一体化全链条	foundation	architecture	biz-finance-integration|业财一体化全链条|资金闭环|业财|核销|门禁
